Date,etf_gld_social_close,Excessive Optimism: 0.75,Excessive Pessimism: 2.5
10/13/2020,1.6341,0,0
10/14/2020,1.4324,0,0
10/15/2020,1.0909,0,0
10/16/2020,0.7105,1,0
10/19/2020,1.1613,0,0
10/20/2020,1.3125,0,0
10/21/2020,0.8333,0,0
10/22/2020,1.5405,0,0
10/23/2020,2.3529,0,0
10/26/2020,2.25,0,0
10/27/2020,1.3548,0,0
10/28/2020,1.9032,0,0
10/29/2020,2.0909,0,0
10/30/2020,1.6957,0,0
11/2/2020,1.3846,0,0
11/3/2020,1.2353,0,0
11/4/2020,1.125,0,0
11/5/2020,1.08,0,0
11/6/2020,0.3966,1,0
11/9/2020,1.2564,0,0
11/10/2020,1.2083,0,0
11/11/2020,2.1333,0,0
11/12/2020,0.8462,0,0
11/13/2020,1.381,0,0
11/16/2020,0.7955,0,0
11/17/2020,1.3043,0,0
11/18/2020,2.4167,0,0
11/19/2020,1.375,0,0
11/20/2020,0.8125,0,0
11/23/2020,1.8387,0,0
11/24/2020,1.3846,0,0
11/25/2020,0.7813,0,0
11/26/2020,1.3478,0,0
11/27/2020,1.6061,0,0
11/30/2020,1.1277,0,0
12/1/2020,1,0,0
12/2/2020,0.7447,1,0
12/3/2020,1.2683,0,0
12/4/2020,0.7143,1,0
12/7/2020,0.8605,0,0
12/8/2020,0.9143,0,0
12/9/2020,1.2593,0,0
12/10/2020,0.8696,0,0
12/11/2020,1.4167,0,0
12/14/2020,1.2381,0,0
12/15/2020,1.2727,0,0
12/16/2020,0.7317,1,0
12/17/2020,0.6102,1,0
12/18/2020,0.9444,0,0
12/21/2020,0.6585,1,0
12/22/2020,0.9091,0,0
12/23/2020,0.3103,1,0
12/24/2020,1.625,0,0
12/25/2020,2.6667,0,1
12/28/2020,0.9118,0,0
12/29/2020,1.0769,0,0
12/30/2020,0.5714,1,0
12/31/2020,0.6098,1,0
1/1/2021,0.8889,0,0
1/4/2021,0.7108,1,0
1/5/2021,0.803,0,0
1/6/2021,0.6721,1,0
1/7/2021,0.9394,0,0
1/8/2021,1.3836,0,0
1/11/2021,1.1944,0,0
